"Daily Weather Observations for Canberra, Australian Capital Territory for June 2018"
"Prepared at 05:36 UTC on Thursday 14 June 2018   IDCJDW2801.201806"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-06-1,3.3,12.6,0,,,S,46,23:18,7.2,66,7,S,28,1027.0,11.3,52,8,S,22,1025.8
,2018-06-2,2.4,13.3,0,,,SSE,59,08:59,10.0,66,1,SSE,37,1023.4,11.4,62,8,S,31,1022.6
,2018-06-3,5.3,14.3,0,,,SSE,28,00:53,9.6,74,8,SSE,15,1024.3,13.6,57,8,SE,7,1021.8
,2018-06-4,4.2,14.9,0,,,W,24,16:05,9.2,82,8,SSE,9,1022.6,14.1,56,8, ,Calm,1020.9
,2018-06-5,2.6,13.0,1.4,,,ESE,35,14:45,8.2,77,,SSE,15,1028.7,11.4,71,8,ESE,26,1028.3
,2018-06-6,4.8,15.9,0,,,E,35,13:07,9.9,89,6,SE,11,1032.8,13.9,64,8,E,17,1031.2
,2018-06-7,2.2,16.6,0,,,NNE,26,12:11,7.7,99,7, ,Calm,1033.7,15.5,54,8,NNW,11,1028.5
,2018-06-8,3.6,13.0,0,,,NW,43,09:12,11.8,71,8,NNW,24,1025.2,11.3,80,8,NW,17,1022.4
,2018-06-9,8.6,13.2,4.4,,,NNW,22,00:37,9.1,99,8,NNE,7,1023.9,12.3,72,2,W,7,1022.6
,2018-06-10,3.4,15.1,1.4,,,SE,30,15:49,7.9,81,,SE,9,1028.6,14.4,47,,ESE,17,1026.3
,2018-06-11,0.8,14.4,0,,,ENE,22,18:01,6.8,89,,N,6,1026.6,13.2,44,2,E,7,1021.7
,2018-06-12,0.3,10.9,2.2,,,NNW,33,13:57,5.1,99,8,ENE,4,1014.2,10.2,85,8,NNW,17,1009.8
,2018-06-13,5.0,14.1,1.4,,,WNW,39,13:01,9.2,90,1,NW,20,1012.1,11.4,56,8,WNW,20,1010.9
,2018-06-14,6.0,,0,,,,,,9.7,69,2,NNW,17,1015.3,11.0,51,1,W,30,1014.8